,Img_ID_x,Value
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.21.34.ims,0.05405991826405743
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.22.00.ims,0.05403505417945955
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.21.08.ims,0.05406013443645906
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.21.47.ims,0.054052876169342026
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.23.03.ims,0.05390062943877099
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.22.25.ims,0.05397943357024237
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.22.38.ims,0.05400760005217567
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.23.29.ims,0.05380267167374392
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.23.52.ims,0.05402031686599796
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.22.51.ims,0.053899129704021866
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.23.16.ims,0.053742808061739596
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.25.47.ims,0.07027286282615086
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.24.18.ims,0.05457879207155609
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.24.56.ims,0.559554839595538
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.24.05.ims,0.054415625808666705
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.25.35.ims,0.07734214393095651
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.25.22.ims,0.5179570872003897
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.24.43.ims,0.12696934470418567
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.25.09.ims,1.0
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.24.30.ims,0.058162557105398395
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.26.00.ims,0.06883992666536322
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.26.13.ims,0.06789919791330545
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.26.26.ims,0.0674399407687155
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.26.38.ims,0.06705397617232464
2,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.26.51.ims,0.06652183513209138
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.36.03.ims,0.03977286035134224
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.36.55.ims,0.042362911446069594
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.37.20.ims,0.0390784890137756
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.36.29.ims,0.03936053885040721
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.37.08.ims,0.03920943817609082
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.36.42.ims,0.03920568188120706
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.36.16.ims,0.03950000871450859
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.35.50.ims,0.04230922992468108
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.38.25.ims,0.038915272295657284
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.38.50.ims,0.038813921344794715
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.37.46.ims,0.03900740708420711
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.38.12.ims,0.03888484223959926
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.37.59.ims,0.039098803471446536
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.37.33.ims,0.03891766614198469
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.38.37.ims,0.03888637661508277
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.40.56.ims,0.04845071495084743
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.39.39.ims,0.5108279109055315
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.39.52.ims,1.0
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.39.13.ims,0.04761012568553481
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.40.18.ims,0.061815021513582334
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.40.43.ims,0.04943163570769904
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.40.05.ims,0.5375475291242847
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.39.26.ims,0.13322275866935016
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.40.30.ims,0.05100363152182368
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.41.09.ims,0.04821734352926544
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.41.22.ims,0.04784577195860848
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.41.35.ims,0.0475239408025641
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.41.47.ims,0.04754865995276472
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.42.00.ims,0.04720472207317514
3,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_21.42.13.ims,0.04702359143188369
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.39.ims,0.663344830816881
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.01.ims,0.6669512284411151
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.13.ims,0.6653154167119397
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.52.ims,0.6624246231326918
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.04.ims,0.6637915834667477
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.29.17.ims,0.6630784454158422
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.28.26.ims,0.6664269929237434
4,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.27.47.ims,0.6663120649362388
