fusionrest.py - 2024-04-03 13:57:17,515 - INFO - This log message is from DragonFlyWellPlateAutomation.RestAPI.fusionrest
micrscope.py - 2024-04-03 13:57:17,571 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,571 - INFO - Current Z: 472.42
micrscope.py - 2024-04-03 13:57:17,572 - INFO - Updated referencezposition from 472.42 to 467.42
micrscope.py - 2024-04-03 13:57:17,572 - INFO - Current Z: 467.42
micrscope.py - 2024-04-03 13:57:17,574 - INFO - Current Z: 467.42
micrscope.py - 2024-04-03 13:57:17,574 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,574 - INFO - Current Z: 467.42
micrscope.py - 2024-04-03 13:57:17,574 - INFO - Updated referencezposition from 467.42 to 462.42
micrscope.py - 2024-04-03 13:57:17,574 - INFO - Current Z: 462.42
micrscope.py - 2024-04-03 13:57:17,576 - INFO - Current Z: 462.42
micrscope.py - 2024-04-03 13:57:17,576 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,576 - INFO - Current Z: 462.42
micrscope.py - 2024-04-03 13:57:17,576 - INFO - Updated referencezposition from 462.42 to 457.42
micrscope.py - 2024-04-03 13:57:17,576 - INFO - Current Z: 457.42
micrscope.py - 2024-04-03 13:57:17,579 - INFO - Current Z: 457.42
micrscope.py - 2024-04-03 13:57:17,579 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,579 - INFO - Current Z: 457.42
micrscope.py - 2024-04-03 13:57:17,579 - INFO - Updated referencezposition from 457.42 to 452.42
micrscope.py - 2024-04-03 13:57:17,579 - INFO - Current Z: 452.42
micrscope.py - 2024-04-03 13:57:17,582 - INFO - Current Z: 452.42
micrscope.py - 2024-04-03 13:57:17,582 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,582 - INFO - Current Z: 452.42
micrscope.py - 2024-04-03 13:57:17,582 - INFO - Updated referencezposition from 452.42 to 447.42
micrscope.py - 2024-04-03 13:57:17,582 - INFO - Current Z: 447.42
micrscope.py - 2024-04-03 13:57:17,584 - INFO - Current Z: 447.42
micrscope.py - 2024-04-03 13:57:17,584 - INFO - Moving z axis
micrscope.py - 2024-04-03 13:57:17,584 - INFO - Current Z: 447.42
