,Img_ID,Z plane,Well coords,Acquisition number,Metrics,Value,Estimated f,Elapsed time
0,rawtake_n1_wellJ13_zheigth484.ims,484,J13,1,Brenner,23196512304,0,50.11365628242493
1,rawtake_n2_wellJ13_zheigth481.ims,481,J13,2,Brenner,23231471906,1,50.11365628242493
2,rawtake_n3_wellJ13_zheigth478.ims,478,J13,3,Brenner,23173733074,0,50.11365628242493
3,rawtake_n2_wellJ13_zheigth479.ims,479,J13,2,Brenner,23231471906,0,50.11365628242493
4,rawtake_n1_wellJ13_zheigth483.ims,483,J13,1,Brenner,23196512304,0,50.11365628242493
