,Img_ID,Z plane,Well coords,Acquisition number,Metrics,Value,Estimated f,Elapsed time
0,rawtake_n2_wellI10_zheigth483.ims,483,I10,2,Brenner,23231471906,1,50.08745813369751
1,rawtake_n1_wellI10_zheigth485.ims,485,I10,1,Brenner,23196512304,0,50.08745813369751
