,Img_ID,Z plane,Well coords,Acquisition number,Metrics,Value,Estimated f,Elapsed time
0,rawtake_n2_wellI15_zheigth479.ims,479,I15,2,Brenner,23231471906,1,50.087918758392334
1,rawtake_n1_wellI15_zheigth483.ims,483,I15,1,Brenner,23196512304,0,50.087918758392334
