,Img_ID,Z plane,Well coords,Acquisition number,Metrics,Value,Estimated f,Elapsed time
0,rawtake_n1_wellG12_zheigth483.ims,483,G12,1,Brenner,23196512304,0,50.08125591278076
1,rawtake_n2_wellG12_zheigth479.ims,479,G12,2,Brenner,23231471906,1,50.08125591278076
